customer_id,first_name,last_name,email,phone_number,address,city,state,country,zip_code,signup_date,last_login,total_bookings,total_spent,preferred_language,referral_code,account_status
1.00,Larry,Peterson,rstokes@collins-parker.com,001-399-427-0570x2976,"9922 Erin Harbor, Justinchester, NY 66831",Mariefurt,Hawaii,Djibouti,89182,30-04-2024,09-08-2024 22:11,4,506.97,Spanish,dMbp-28297,Suspended
2.00,Tyler,Arnold,derekchandler@carter.com,142-078-4315,"5405 Jorge Loop Apt. 939, Lake Stanleybury, MS 78010",Port Christian,North Carolina,Gabon,61511,14-03-2024,15-08-2024 02:02,12,4752.24,French,cfMi-48727,Active
3.00,Brandon,Mcfarland,icampbell@hotmail.com,+1-668-232-1170x027,"PSC 2785, Box 6050, APO AP 31064",Kathyport,Mississippi,Marshall Islands,7883,27-02-2024,28-08-2024 16:52,14,3287.29,French,pBRK-79372,Suspended
4.00,Jose,Delgado,amberjames@yahoo.com,001-391-546-0054x651,"2845 Lin Rue Suite 069, West Jeffreystad, NJ 14256",Phyllisbury,California,San Marino,53042,17-05-2024,24-08-2024 02:02,12,329.61,French,lieW-71867,Suspended
5.00,Charles,Payne,kathyanderson@harrell.com,(156)715-3788,"017 Jenkins Loop Apt. 441, South Emily, OK 78640",Emilyland,Georgia,Cambodia,95382,26-03-2024,10-08-2024 05:54,9,4061.82,English,ZOTb-36233,Suspended
6.00,Monica,Grant,aporter@carlson.com,718-065-4720x242,"112 William Fields Suite 499, Lake Brendafurt, MS 49612",Nicholsbury,Nebraska,Nicaragua,29613,30-03-2024,17-08-2024 01:47,3,4703.81,Spanish,xQEt-01214,Inactive
7.00,Melissa,Figueroa,andrew49@gmail.com,048-299-1049x98389,"599 Morris Mountains Apt. 152, East Raymond, NY 39990",North Lisachester,Arizona,Guinea-Bissau,82603,26-08-2024,26-08-2024 03:29,10,2987.95,French,oZdD-06289,Inactive
8.00,Dustin,Howard,medinatiffany@edwards.net,800.936.4879,"1972 Mays Mills Suite 911, Adamsland, NH 72641",Cindyville,California,Papua New Guinea,88817,04-03-2024,09-08-2024 11:52,8,2681.92,German,Hjob-43641,Inactive
9.00,Michelle,Walsh,brownbrianna@yahoo.com,50284969,"206 Jones Lock Suite 459, Marcusland, OH 02931",East Mallorybury,Wyoming,Christmas Island,49810,07-02-2024,06-08-2024 01:51,5,1608.07,Spanish,PkHO-50516,Suspended
10.00,Jacqueline,Edwards,hinessamantha@hotmail.com,571-225-2640,"5065 Keith Walk, West Susan, AZ 78950",East William,Louisiana,Albania,53741,09-01-2024,11-08-2024 09:54,13,2742.66,Spanish,wfHK-70733,Active
11.00,Walter,Weiss,yjimenez@hotmail.com,(635)958-5121,"7213 Julie Drives Suite 786, Kyleport, AL 44846",Lake Debrachester,Washington,Bangladesh,24347,17-04-2024,22-08-2024 05:45,12,4852.03,Chinese,zeAW-11424,Inactive
12.00,Benjamin,Mitchell,richardmartin@yahoo.com,(295)671-5155,"862 Mary Mountain, Lake Brianaberg, WY 37650",Fuentesside,South Carolina,Cote d'Ivoire,85898,24-04-2024,07-08-2024 07:59,9,258.58,English,JJcl-15094,Active
13.00,Jack,Foster,llopez@hotmail.com,292.195.3127x79391,"070 Mary Junctions Apt. 624, Bradleyshire, MI 89896",Craigfurt,Texas,Jordan,49972,15-07-2024,28-08-2024 18:07,1,609.81,French,VDtw-97064,Active
14.00,Robin,Johnson,carlos68@duffy.com,394-331-2459,"75915 Zavala Flats Apt. 957, Port James, MN 49873",East Rachelborough,Connecticut,India,22081,23-07-2024,08-08-2024 22:45,7,1186.24,German,gIiW-26664,Suspended
15.00,Diana,Robinson,russell22@hotmail.com,001-325-719-3665,"20010 Richardson Flats Suite 678, South Justin, NJ 37071",Morenomouth,Illinois,Mexico,80018,01-02-2024,13-08-2024 18:22,10,2836.24,English,kvZT-03107,Active
16.00,Stephanie,Mccoy,orozcomarilyn@hotmail.com,+1-912-404-0382x7969,"2577 Reynolds Street, North Jeremy, SC 77975",East Tonyabury,Rhode Island,Angola,72143,28-08-2024,19-08-2024 15:00,8,477.6,English,oLOD-95188,Active
17.00,David,Griffin,jonesdanielle@hotmail.com,(587)467-7779x6403,"63491 Reyes Path Apt. 875, Jeffreymouth, HI 81730",Pughshire,Virginia,Morocco,53618,09-08-2024,15-08-2024 15:17,10,4971.02,Spanish,wYCp-04035,Inactive
18.00,Felicia,Santana,spencermichael@landry.com,+1-498-752-1231x2060,"6426 Jennings Avenue, Richardside, ID 22805",Port William,Tennessee,Somalia,76932,02-02-2024,06-08-2024 21:05,6,654.43,French,tMcd-39416,Active
19.00,Kristen,Carpenter,michaelhernandez@gmail.com,(422)022-6352,"8074 Alison Greens Apt. 467, New Courtney, KY 30959",Lake Jessicatown,Minnesota,Morocco,46176,13-01-2024,06-08-2024 17:57,7,2460.4,Chinese,Vogt-05481,Inactive
20.00,John,Dixon,fhayes@yahoo.com,205-229-4506,"02304 Mitchell Throughway Apt. 898, North Mitchell, WI 08060",Pamelachester,Alabama,Armenia,33698,06-02-2024,10-08-2024 05:16,10,653.86,English,ZrHp-26677,Active
21.00,Cassidy,Pierce,fweber@delgado-gibson.com,314-359-6562x15040,"273 Stevens Common Suite 605, Gallagherview, MN 66209",East Patricia,Kentucky,Myanmar,66072,14-05-2024,23-08-2024 08:49,7,2855.23,Spanish,ciaQ-56815,Active
22.00,Caleb,Jackson,andrewmcdonald@brown-martin.com,122.499.4908,"PSC 2260, Box 1664, APO AA 30062",North Jimmy,Massachusetts,Congo,2445,06-07-2024,27-08-2024 21:15,3,2365.24,English,vPws-49017,Suspended
23.00,Linda,Kim,stanleylinda@gmail.com,119-915-1883,"98780 Michael Point, East Tiffany, VT 46854",North William,Florida,Antigua and Barbuda,41187,20-04-2024,19-08-2024 11:14,15,1241.02,French,tpAw-39343,Active
24.00,Luis,Jones,bryancook@coleman.com,213.605.0465,"7344 Amber Turnpike Suite 673, South Tylermouth, ND 87058",South Debraton,Wisconsin,San Marino,44710,28-08-2024,18-08-2024 01:51,14,2825.89,Chinese,CthP-82519,Inactive
25.00,Victoria,Powell,ajohnson@yahoo.com,740.124.4444,"945 Nicholas Valleys, Woodburgh, AK 02048",Grimesbury,South Carolina,Ireland,2187,20-08-2024,09-08-2024 00:34,9,3528.03,English,JTXc-62393,Suspended
26.00,Andrew,Henry,samuel09@powell.net,452.153.5167,"Unit 2011 Box 3918, DPO AA 39608",Mikechester,North Carolina,Syrian Arab Republic,61557,23-03-2024,15-08-2024 13:32,12,879.96,English,tTgc-75921,Active
27.00,Alexis,Daniel,kennethbaird@yahoo.com,003.199.7653x292,"005 Herrera Prairie Apt. 507, Carlfort, FL 34772",Acostaland,Arkansas,Christmas Island,28168,22-02-2024,20-08-2024 06:07,5,1354.4,Spanish,sfRf-38160,Suspended
28.00,Zachary,Kaufman,debraclark@miller-wells.info,643-391-7773,"9059 Clark Station, Zacharyton, UT 69237",Daniellechester,New Hampshire,Mozambique,89007,28-05-2024,19-08-2024 22:47,7,2365.34,German,lLnq-58261,Inactive
29.00,Susan,Ryan,lchapman@yahoo.com,+1-044-913-9329x897,"31156 Wilson Ports Suite 093, Carlamouth, AL 15106",Leefort,Alaska,Zambia,73805,25-04-2024,08-08-2024 09:51,7,1889.98,French,Mtkw-05331,Suspended
30.00,Daisy,Chen,pbrock@alvarez.org,(415)448-3690x64206,"73197 Mary Underpass, New Danielle, VT 75096",West Gina,Oklahoma,Ethiopia,8179,30-04-2024,24-08-2024 12:36,6,2339.36,Spanish,WWdx-59536,Active
31.00,Crystal,Montgomery,elizabethdawson@johnson-lee.org,751-772-1058x659,"681 Mario Rapids Suite 106, Brianchester, KS 96909",North Annetteberg,Louisiana,Bouvet Island (Bouvetoya),77468,07-08-2024,07-08-2024 01:30,7,4821.55,Spanish,SGQP-89190,Suspended
32.00,Debra,Johnson,fletcherjohn@yahoo.com,001-562-430-2784,"622 Mathew Ridges Suite 158, North Evelynfort, MI 03378",Joshuafurt,New York,Saint Martin,93837,03-04-2024,17-08-2024 10:00,12,1487.16,French,DkiS-62584,Inactive
33.00,Kevin,Robles,kathleenhall@hotmail.com,803-285-7185,"2089 Tucker Locks Apt. 670, Lake Jerryhaven, RI 12720",West Anne,Delaware,Norway,9967,24-02-2024,08-08-2024 08:33,1,4300.03,Spanish,cZpL-99901,Active
34.00,Timothy,Neal,brownlarry@yahoo.com,836.442.4205,"30061 Norton Key, North Ashleyton, IA 56548",Walterside,West Virginia,Tajikistan,67373,01-05-2024,27-08-2024 09:56,3,2752.51,Spanish,xnMZ-81000,Inactive
35.00,Nathan,King,william30@torres.com,(984)585-2056,"339 Ivan Inlet Suite 671, New Jeffrey, KS 61977",East Colechester,Oklahoma,Samoa,67548,05-06-2024,28-08-2024 04:23,11,218.02,Chinese,darc-20624,Suspended
36.00,Lisa,Shaffer,abarker@hotmail.com,8880153440,"849 Willis Plains Suite 824, South Robertside, AZ 70885",New Victoria,Pennsylvania,Lebanon,4542,18-02-2024,02-08-2024 14:27,10,992.83,English,vWCu-65557,Active
37.00,Michael,Clark,nicholas82@hotmail.com,001-230-010-7712x75885,"8798 Chris Via Suite 353, Austinfurt, AL 52331",Port Anthony,Louisiana,Djibouti,53392,15-08-2024,09-08-2024 17:23,7,3871.67,Spanish,dBbo-67394,Inactive
38.00,Denise,Davis,frenchjodi@yahoo.com,001-886-249-2696x918,"011 Kenneth Manor Suite 597, Lake Richardborough, KY 26721",East Lauren,Alabama,Benin,74792,14-01-2024,25-08-2024 20:22,5,3086.25,Chinese,KbCe-87844,Inactive
39.00,Sharon,Brown,jfitzpatrick@gmail.com,865.252.4146x1032,"18701 Chen Stream Apt. 167, Lake Amandaberg, NV 78359",East Nancy,Washington,Haiti,41820,05-03-2024,13-08-2024 11:06,11,1419.6,French,LAAU-39422,Active
40.00,Deborah,Logan,brettlawson@marquez.biz,001-849-034-2742x2266,"91389 Wagner Shoal Apt. 843, Moralesbury, ID 04493",Kellyville,Ohio,Luxembourg,96137,16-05-2024,24-08-2024 05:47,14,3373.23,French,fuwl-43489,Inactive
41.00,Harold,Hamilton,nicholasjohnson@moore.com,(598)922-2543x6333,"718 Gonzalez Gardens Suite 654, Chapmanborough, IA 53626",Peterside,Montana,Haiti,86347,03-07-2024,26-08-2024 17:21,15,2564.99,Chinese,BQqU-18184,Active
42.00,Frank,Hanna,robertsonadam@christian-pena.net,001-220-372-5660x91369,"412 Stephanie Brook, Calvinbury, TN 67994",Darrylberg,Connecticut,Finland,84001,25-04-2024,07-08-2024 13:06,12,1612.64,French,cMZc-03587,Active
43.00,Jessica,Anderson,alexiswilliams@christensen.com,-1135,"1802 Buck Fork Apt. 789, Gonzalesfurt, OR 01908",Riveraland,South Dakota,Kenya,86066,21-03-2024,24-08-2024 09:28,8,3701.39,French,NBVn-51642,Inactive
44.00,Amy,Davis,marvinsmith@vaughn.org,483.438.7543,"6999 Jeanette Cliffs, East Jessicafort, WI 79501",Lake Justinton,Rhode Island,Belgium,58559,28-06-2024,01-08-2024 08:54,13,3876.77,German,kbBW-57116,Active
